provincia;anio;precipitacion_total;temperatura_media;humedad_relativa
Corrientes;1997;1928.88;21.34;75.59
Corrientes;1998;2273.8;20.12;82.09
Corrientes;1999;1632.33;20.59;74.1
Corrientes;2000;1869.13;20.3;77.26
Corrientes;2001;1734.13;20.82;81.51
Corrientes;2002;2697.85;20.77;80.32
Corrientes;2003;1948.27;20.05;80.09
Corrientes;2004;1084.53;20.8;72.65
Corrientes;2005;1432.93;21.03;74.62
Corrientes;2006;1667.57;21.1;73.96
Corrientes;2007;2224.42;19.8;81.23
Corrientes;2008;1479.96;20.3;75.04
Corrientes;2009;1751.05;20.68;74.08
Corrientes;2010;1522.15;19.81;79.91
Corrientes;2011;1217.26;20.65;74.05
Corrientes;2012;1079.48;22.0;67.91
Corrientes;2013;1189.92;20.42;74.17
Corrientes;2014;1719.18;21.07;78.06
Corrientes;2015;1568.0;20.99;80.15
Corrientes;2016;1629.21;20.11;80.57
Corrientes;2017;2373.02;20.85;81.02
Corrientes;2018;1403.3;20.99;75.99
Corrientes;2019;1723.0;20.79;79.57
Corrientes;2020;1100.29;21.03;69.66
Corrientes;2021;925.09;21.2;69.53
Corrientes;2022;1161.84;20.91;70.54
Corrientes;2023;1412.25;22.21;72.54
Córdoba;1981;936.53;17.2;71.81
Córdoba;1982;871.2;17.35;68.27
Córdoba;1983;895.43;16.57;71.09
Córdoba;1984;1120.81;16.15;76.04
Córdoba;1985;880.08;17.3;70.2
Córdoba;1986;855.31;17.43;70.03
Córdoba;1987;924.7;17.01;70.57
Córdoba;1988;790.56;16.61;65.94
Córdoba;1989;728.36;18.0;62.6
Córdoba;1990;1042.49;16.89;71.62
Córdoba;1991;1081.09;16.72;74.01
Córdoba;1992;931.79;16.34;70.31
Córdoba;1993;1158.0;16.05;73.55
Córdoba;1994;941.76;16.81;70.53
Córdoba;1995;806.55;16.45;64.45
Córdoba;1996;870.71;16.77;66.18
Córdoba;1997;1035.29;17.69;64.91
Córdoba;1998;1238.72;15.88;76.59
Córdoba;1999;1096.1;15.97;72.43
Córdoba;2000;963.6;16.12;72.9
Córdoba;2001;1068.32;16.9;73.85
Córdoba;2002;783.76;16.89;69.42
Córdoba;2003;670.31;17.17;65.49
Córdoba;2004;1090.0;16.87;69.62
Córdoba;2005;745.69;16.54;67.35
Córdoba;2006;952.0;17.35;64.32
Córdoba;2007;852.37;15.78;71.82
Córdoba;2008;766.2;17.42;63.56
Córdoba;2009;908.1;17.63;59.33
Córdoba;2010;800.75;16.26;69.19
Córdoba;2011;719.51;16.9;63.85
Córdoba;2012;1178.04;16.96;70.38
Córdoba;2013;733.47;16.85;65.71
Córdoba;2014;1033.42;17.06;70.89
Córdoba;2015;1067.4;16.9;74.14
Córdoba;2016;1139.21;16.24;75.92
Córdoba;2017;1015.25;16.88;73.96
Córdoba;2018;822.18;17.6;65.77
Córdoba;2019;836.27;17.12;68.12
Córdoba;2020;787.79;16.98;65.28
Córdoba;2021;989.68;17.02;69.03
Córdoba;2022;607.48;17.11;60.6
Córdoba;2023;1100.0;18.4;62.03
Entre Ríos;1981;1055.55;17.73;74.41
Entre Ríos;1982;1077.98;17.82;71.45
Entre Ríos;1983;903.38;17.56;71.11
Entre Ríos;1984;1417.61;16.81;77.39
Entre Ríos;1985;1196.6;18.11;72.64
Entre Ríos;1986;1216.6;17.9;74.55
Entre Ríos;1987;1175.2;17.53;73.25
Entre Ríos;1988;1073.27;17.16;69.57
Entre Ríos;1989;1126.3;18.3;68.11
Entre Ríos;1990;1405.82;17.19;77.05
Entre Ríos;1991;1340.79;17.75;74.26
Entre Ríos;1992;959.5;17.25;72.52
Entre Ríos;1993;1516.95;17.06;75.48
Entre Ríos;1994;812.9;18.23;69.22
Entre Ríos;1995;872.75;17.45;66.51
Entre Ríos;1996;932.27;17.79;68.2
Entre Ríos;1997;1087.28;18.21;69.31
Entre Ríos;1998;990.16;17.33;72.95
Entre Ríos;1999;902.76;17.43;69.72
Entre Ríos;2000;1505.23;17.05;74.76
Entre Ríos;2001;1487.96;17.72;78.04
Entre Ríos;2002;1419.38;17.29;77.15
Entre Ríos;2003;1159.1;17.08;74.61
Entre Ríos;2004;944.9;17.99;70.2
Entre Ríos;2005;937.61;17.65;70.85
Entre Ríos;2006;1167.64;18.02;69.86
Entre Ríos;2007;1404.06;16.44;76.88
Entre Ríos;2008;603.4;18.62;64.18
Entre Ríos;2009;1397.66;17.69;68.34
Entre Ríos;2010;1154.88;17.06;74.55
Entre Ríos;2011;956.46;17.29;69.75
